run_label,scope,community,topic,entropy_t0,entropy_t500,t_conv,ever_sme,ever_sme_pct,target_met,top1_node,top1_frac,top2_node,top2_frac,top3_node,top3_frac,post_conv_new_sme,post_conv_pct
baseline (random C0),overall,,Topic 1,2.2750,-0.0000,18,119,99.17,PASS,85,0.9900,45,0.9840,16,0.9721,89,74.17
baseline (random C0),overall,,Topic 2,2.2732,-0.0000,18,119,99.17,PASS,16,0.9980,85,0.9900,45,0.9780,93,77.50
baseline (random C0),overall,,Topic 3,2.2612,-0.0000,18,118,98.33,PASS,16,0.9880,45,0.9860,85,0.9760,92,76.67
baseline (random C0),community,C1(0-29),Topic 1,NA,NA,18,30,100.00,NA,NA,NA,NA,NA,NA,NA,NA,NA
baseline (random C0),community,C1(0-29),Topic 2,NA,NA,18,30,100.00,NA,NA,NA,NA,NA,NA,NA,NA,NA
baseline (random C0),community,C1(0-29),Topic 3,NA,NA,18,30,100.00,NA,NA,NA,NA,NA,NA,NA,NA,NA
baseline (random C0),community,C2(30-59),Topic 1,NA,NA,18,29,96.67,NA,NA,NA,NA,NA,NA,NA,NA,NA
baseline (random C0),community,C2(30-59),Topic 2,NA,NA,18,30,100.00,NA,NA,NA,NA,NA,NA,NA,NA,NA
baseline (random C0),community,C2(30-59),Topic 3,NA,NA,18,29,96.67,NA,NA,NA,NA,NA,NA,NA,NA,NA
baseline (random C0),community,C3(60-89),Topic 1,NA,NA,18,30,100.00,NA,NA,NA,NA,NA,NA,NA,NA,NA
baseline (random C0),community,C3(60-89),Topic 2,NA,NA,18,30,100.00,NA,NA,NA,NA,NA,NA,NA,NA,NA
baseline (random C0),community,C3(60-89),Topic 3,NA,NA,18,30,100.00,NA,NA,NA,NA,NA,NA,NA,NA,NA
baseline (random C0),community,C4(90-119),Topic 1,NA,NA,18,30,100.00,NA,NA,NA,NA,NA,NA,NA,NA,NA
baseline (random C0),community,C4(90-119),Topic 2,NA,NA,18,29,96.67,NA,NA,NA,NA,NA,NA,NA,NA,NA
baseline (random C0),community,C4(90-119),Topic 3,NA,NA,18,29,96.67,NA,NA,NA,NA,NA,NA,NA,NA,NA
uniform C0=0.5,overall,,Topic 1,2.2750,-0.0000,18,119,99.17,PASS,16,0.9980,45,0.9980,85,0.9980,65,54.17
uniform C0=0.5,overall,,Topic 2,2.2732,-0.0000,18,120,100.00,PASS,45,0.9980,85,0.9980,16,0.9980,58,48.33
uniform C0=0.5,overall,,Topic 3,2.2612,-0.0000,18,119,99.17,PASS,85,0.9980,16,0.9980,45,0.9980,63,52.50
uniform C0=0.5,community,C1(0-29),Topic 1,NA,NA,18,30,100.00,NA,NA,NA,NA,NA,NA,NA,NA,NA
uniform C0=0.5,community,C1(0-29),Topic 2,NA,NA,18,30,100.00,NA,NA,NA,NA,NA,NA,NA,NA,NA
uniform C0=0.5,community,C1(0-29),Topic 3,NA,NA,18,30,100.00,NA,NA,NA,NA,NA,NA,NA,NA,NA
uniform C0=0.5,community,C2(30-59),Topic 1,NA,NA,18,29,96.67,NA,NA,NA,NA,NA,NA,NA,NA,NA
uniform C0=0.5,community,C2(30-59),Topic 2,NA,NA,18,30,100.00,NA,NA,NA,NA,NA,NA,NA,NA,NA
uniform C0=0.5,community,C2(30-59),Topic 3,NA,NA,18,29,96.67,NA,NA,NA,NA,NA,NA,NA,NA,NA
uniform C0=0.5,community,C3(60-89),Topic 1,NA,NA,18,30,100.00,NA,NA,NA,NA,NA,NA,NA,NA,NA
uniform C0=0.5,community,C3(60-89),Topic 2,NA,NA,18,30,100.00,NA,NA,NA,NA,NA,NA,NA,NA,NA
uniform C0=0.5,community,C3(60-89),Topic 3,NA,NA,18,30,100.00,NA,NA,NA,NA,NA,NA,NA,NA,NA
uniform C0=0.5,community,C4(90-119),Topic 1,NA,NA,18,30,100.00,NA,NA,NA,NA,NA,NA,NA,NA,NA
uniform C0=0.5,community,C4(90-119),Topic 2,NA,NA,18,30,100.00,NA,NA,NA,NA,NA,NA,NA,NA,NA
uniform C0=0.5,community,C4(90-119),Topic 3,NA,NA,18,30,100.00,NA,NA,NA,NA,NA,NA,NA,NA,NA
